Sección;Descripción;Precio_EUR
Charcutería y quesos;DIA GALATEA queso rallado mezcla 4 quesos bolsa 200 gr;1.79
Charcutería y quesos;PALACIOS chorizo sarta pieza 250 gr;3.09
Charcutería y quesos;DIA EL CENCERRO queso tierno pieza 1 Kg;6.39
Charcutería y quesos;DIA tiras de bacon envase 2 x 100 gr;1.65
Charcutería y quesos;DIA SELECCIÓN MUNDIAL queso gouda cuña 500 gr;2.99
Charcutería y quesos;DIA salchichas cocktail tarro 180GR;1.39
Charcutería y quesos;CASA TARRADELLAS espetec pack 2 x 180 gr;3.98
Charcutería y quesos;LA PIARA paté de hígado de cerdo pack 2 latas 184 gr ;2.29
Charcutería y quesos;BURGO DE ARIAS queso fresco mini 0% envase  pack 3x72 g;2.25
Charcutería y quesos;DIA salchichas bockwurst tarro 320GR;1.85
Charcutería y quesos;OSCAR MAYER salchichas jumbo con queso envase 350 gr;1.99
Charcutería y quesos;LA PIARA paté de atún en escabeche lata 75 gr;1.49
Charcutería y quesos;DIA paleta de york pieza 1 Kg;2.35
Charcutería y quesos;DIA lomo embuchado pieza 400 gr;5.95
Charcutería y quesos;SOCIETE queso roquefort envase 100 gr;2.05
Charcutería y quesos;DIA paté ibérico tarro 125 gr;0.85
Charcutería y quesos;DIA paté campaña tarro 125 gr;0.75
Charcutería y quesos;DIA fuet envase 2 x 170 gr;2.99
Charcutería y quesos;DIA EL CENCERRO queso tierno en lonchas envase 250 gr;1.99
Charcutería y quesos;BABYBEL mini queso edam 6 porciones bolsa 120 gr ;2.39
Charcutería y quesos;MINA pate higado cerdo lata 240GR;1.55
Charcutería y quesos;DIA EL CENCERRO queso tierno de cabra mini 550 gr;5.59
Charcutería y quesos;GARCIA BAQUERO queso semicurado lonchas bandeja 200 g;2.99
Charcutería y quesos;DIA queso fresco 0% M.G pack 4 unidades 62.5 gr;1.05
Charcutería y quesos;CAMPOFRÍO Finissimas jamón cocido extra sobre 115 gr ;1.89
Charcutería y quesos;CAMPOFRÍO Finissimas pechuga de pavo sobre 115 gr;1.89
Charcutería y quesos;BABYBEL mini queso edam light 6 porciones bolsa 120 gr;2.39
Charcutería y quesos;EL VENTERO queso tierno bajo en sal mini pieza 550 gr;7.49
Charcutería y quesos;ELPOZO pechuga de pavo en lonchas sobre 200 gr;1.99
Charcutería y quesos;DIA longaniza de pagés en lonchas sobre 125 gr;1.49
Charcutería y quesos;ELPOZO Bienstar pechuga de pavo 0% M.G. pieza 340 gr;3.09
Charcutería y quesos;ELPOZO jamón cocido extra en lonchas sobre 200 gr;1.99
Charcutería y quesos;ELPOZO mortadela de pavo en lonchas sobre 225 gr;1.85
Charcutería y quesos;DIA queso mozzarella fresca bolsa 125 gr;0.89
Charcutería y quesos;FLOR DE ESGUEVA queso de oveja viejo cuña 250 g;4.35
Charcutería y quesos;LA VACA QUE RIE palitos con queso fundido caja 4 uds 140gr;2.09
Charcutería y quesos;KIRI queso fundido porciones caja 6 unidades 108 gr;1.89
Charcutería y quesos;DIA chorizo extra sin colorantes pieza 385 gr;3.49
Charcutería y quesos;ELPOZO york sandwich en lonchas envase 225 gr;1.85
Charcutería y quesos;FUENTE LOS ANGELES queso semicurado cuña 250 g + 20%;2.75
Charcutería y quesos;DIA salchichas súper envase 350 gr;1.45
Charcutería y quesos;DIA surtido chorizo y salchichón sobre 225 gr;1.75
Charcutería y quesos;DIA jamón cocido extra finas lonchas sobre 2 x 125 gr;1.89
Charcutería y quesos;ELPOZO jamón cocido en lonchas sobre 110 gr;1.0
Charcutería y quesos;ELPOZO chopped lata en lonchas sobre 225 gr;1.69
Charcutería y quesos;ELPOZO sobrasada tarrina 250 gr;1.39
Charcutería y quesos;DIA EL CENCERRO queso fresco tradicional envase  250 gr;1.39
Charcutería y quesos;DIA queso fresco Natural envase pack 4 x 62.5 g;1.05
Charcutería y quesos;DIA fiambre de pavo maxi pieza 900 gr;2.0
Charcutería y quesos;LA PIARA paté tapa negra -50% grasa pack 2 latas 146GR;2.69
Charcutería y quesos;DIA GALATEA queso fundido light 16 porciones caja 250 gr;1.25
Charcutería y quesos;NAVIDUL jamón curado en lonchas 50 gr;1.0
Charcutería y quesos;DIA chopped de cerdo cocido en lonchas sobre 250 gr;1.69
Charcutería y quesos;ELPOZO bacon en lonchas sobre 90 gr;1.0
Charcutería y quesos;VALDEÓN - GARGANTA DEL CARES queso crema cabrales tarro 200 g;3.29
Charcutería y quesos;DIA lomo lonchas sobre 2 x 60 gr;1.85
Charcutería y quesos;DIA cabecero de lomo lonchas envase 2 x 60 gr ;1.65
Charcutería y quesos;DIA jamón serrano sobre 240 gr;3.49
Charcutería y quesos;MEICA salchichas cocidas bockwurst frasco 250 gr ;3.79
Charcutería y quesos;ELPOZO salchichas frankfurt envase 160 gr;0.49
Charcutería y quesos;ELPOZO fiambre de york maxi pieza 500 gr;2.0
Charcutería y quesos;ELPOZO pechuga de pavo en lonchas finas sobre 85 gr;1.0
Charcutería y quesos;DIA EL CENCERRO queso tierno en lonchas envase pack 2x100 g;1.75
Charcutería y quesos;PAVOFRÍO fiambre de pechuga de pavo en lonchas sobre 80 gr;1.0
Charcutería y quesos;CAMPOFRÍO jamón cocido extrajugoso sobre 90 gr;1.0
Charcutería y quesos;NAVIDUL taquitos de jamón curado envase 65 gr;1.0
Charcutería y quesos;CAMPOFRÍO salchichas frankfurt pack 4 x 140 gr;1.85
Charcutería y quesos;LA VACA QUE RIE queso fundido 16 porciones caja 250 gr;2.19
Charcutería y quesos;DIA fiambre de pechuga de pavo en finas lonchas sobre 300 gr;2.0
Charcutería y quesos;DIA paté de hígado de cerdo tarro 200 gr ;0.89
Charcutería y quesos;DIA mortadela maxi pieza 900 gr;2.45
Charcutería y quesos;NAVIDUL caña de lomo en lonchas sobre 45 gr;1.0
Charcutería y quesos;CASTELLO queso para untar blanco con piña envase 125 gr ;2.05
Charcutería y quesos;REVILLA salchichón tradicional en lonchas sobre 70 gr;1.0
Charcutería y quesos;DIA salchichas frankfurt envase 4 x 160 gr;1.35
Charcutería y quesos;DIA salchichas Viena con queso envase 3 x 200 gr;1.89
Charcutería y quesos;DIA salchichas viena clásica envase 3 x 200 gr;1.85
Charcutería y quesos;ELPOZO fiambre de york sandwich en lonchas sobre 375 gr;2.0
Charcutería y quesos;VALDEON queso azul cuña 100 g;1.99
Charcutería y quesos;ELPOZO fuet nobleza pieza 320 gr;2.0
Charcutería y quesos;ELPOZO mortadela siciliana en lonchas sobre 225 gr;1.65
Charcutería y quesos;ELPOZO mortadela con aceitunas en lonchas sobre 225 gr;1.65
Charcutería y quesos;BOFFARD queso de oveja curado reserva cuña 250 g;4.79
Charcutería y quesos;CAMPOFRÍO mini stick de fuet envase 50 gr;1.29
Charcutería y quesos;EL VENTERO queso tierno cuña 250 gr;3.35
Charcutería y quesos;GRAN CAPITAN queso semicurado cuña 250 gr;3.55
Charcutería y quesos;CAMPOFRÍO chopped pork en lonchas sobre 115 gr;1.0
Charcutería y quesos;REVILLA salami extra en lonchas sobre 70 gr;1.0
Charcutería y quesos;REVILLA chorizo pamplona lonchas sobre 85 gr;1.0
Charcutería y quesos;FUENTE LOS ANGELES queso barra lonchas envase 180 gr;1.95
Charcutería y quesos;LOURIÑO pate iberico lata 200GR;1.79
Charcutería y quesos;DIA jamón serrano lonchas extra finas sobre 120 gr;2.05
Charcutería y quesos;DIA paleta curada lonchas sobre 240 gr;3.59
Charcutería y quesos;PRESIDENT punta de queso brie envase 200g;2.65
Charcutería y quesos;FUENTE LOS ANGELES queso curado cuña 600 gr;6.95
Charcutería y quesos;GRAN CAPITAN queso curado cuña 250 gr;3.99
Charcutería y quesos;DIA DELICIOUS bloc de foie gras de pato lata 200 gr;6.49
Charcutería y quesos;COINGA queso semicurado cuña 225 gr ;2.95
Charcutería y quesos;FONTE OS ANXOS queso de tetilla pieza 550 gr;4.25
Charcutería y quesos;GARCIA BAQUERO queso tierno ya cortado envase 250 gr;3.99
Charcutería y quesos;PRESIDENT queso de cabra en medallones 200 gr  ;2.69
Charcutería y quesos;FONTE OS ANXOS  queso graso madurado pieza 600 gr ;4.45
Charcutería y quesos;ELPOZO Bienstar pechuga de pavo en finas lonchas bajo en sal sobre 85 gr;1.0
Charcutería y quesos;VALLINA chorizo asturiano envase 250 gr;2.39
Charcutería y quesos;ELPOZO salchichas big pavo envase pack 3 x 180 gr ;2.0
Charcutería y quesos;DIA salchichas viena de pollo pack 3 x 200 gr;1.75
Charcutería y quesos;ELPOZO jamón cocido extra en finas loncha sobre 180 gr;1.99
Charcutería y quesos;ELPOZO fiambre de pechuga de pavo en finas lonchas sobre 180 gr;1.99
Charcutería y quesos;ELPOZO jamón cocido en lonchas sobre 120 gr;1.5
Charcutería y quesos;ELPOZO salchichas big queso pack 3 x 180 gr;2.0
Charcutería y quesos;PAVOFRÍO pechuga de pavo braseada al horno en lonchas;10.99
Charcutería y quesos;TREPAL queso de oveja cuña 250 g;2.99
Charcutería y quesos;ELPOZO salchichón extra en lonchas sobre 85 gr;1.0
Charcutería y quesos;BURGO DE ARIAS queso fresco natural original pack 2 x 230 gr;3.89
Charcutería y quesos;EL CASERIO queso fundido en lonchas paquete 300 gr ;1.95
Charcutería y quesos;GARCIA BAQUERO centro de queso semicurado mini pieza 465 gr;6.89
Charcutería y quesos;IBERITOS crema de jamón york pack 3 x 23 gr;0.99
Charcutería y quesos;ELPOZO pavo sandwich en lonchas envase 340 gr ;2.0
Charcutería y quesos;IBERITOS paté ibérico pack 3 x 25 gr ;1.09
Charcutería y quesos;NOEL Grand bouquet jamón cocido extra sobre 180 gr;2.05
Charcutería y quesos;FRESCO DE BOCA queso de burgos envase 500 gr;2.99
Charcutería y quesos;ELPOZO longaniza imperial pieza 230 gr;2.5
Charcutería y quesos;SCHARA salchichas frankfrut alemana tradicional envase 170 gr ;2.89
Charcutería y quesos;SCHARA salchichas  frankfrut alemana tradicional pikante envase 170 gr ;2.99
Charcutería y quesos;DIA DELICIOUS jamón de cebo ibérico 50% raza ibérica en lonchas sobre 100 gr;4.79
Charcutería y quesos;DIA DELICIOUS paleta de cebo ibérica 50% de raza ibérica en lonchas sobre 100 gr;4.29
Charcutería y quesos;DIA GALATEA  mozzarella rallada bolsa 200 gr;1.29
Charcutería y quesos;CAMPOFRÍO pechuga de pollo extrajugosa en lonchas sobre 90 gr;1.0
Charcutería y quesos;PHILADELPHIA queso para untar con salmón tarrina 150 gr ;2.09
Charcutería y quesos;DIA DELICIOUS foie gras entero de pato tarro 125 gr;7.89
Charcutería y quesos;ELPOZO Bienstar pechuga de pavo en lonchas sobre 85 gr;1.0
Charcutería y quesos;DIA jamón curado medias lonchas envase 70 gr;1.0
Charcutería y quesos;DIA SELECCIÓN MUNDIAL queso provolone con orégano envase 200 gr;1.95
Charcutería y quesos;DIA DELICIOUS mousse de cabracho tarro 115 gr;2.19
Charcutería y quesos;DIA DELICIOUS mousse de boletus tarro 115 gr;2.19
Charcutería y quesos;DIA DELICIOUS chorizo ibérico lonchas envase 100 gr;1.99
Charcutería y quesos;DIA DELICIOUS salchichón ibérico lonchas envase 100 gr;1.95
Charcutería y quesos;DIA salchichón de pavo en lonchas sobre 150 gr;1.95
Charcutería y quesos;DIA chorizo de pavo en lonchas sobre 150 gr;1.95
Charcutería y quesos;NAVIDUL paleta de cebo ibérica de Extremadura 50% de raza ibérica en lonchas sobre 104 gr ;6.35
Charcutería y quesos;NAVIDUL jamón reserva cuatro estaciones pieza (peso aprox. 7 Kg);69.0
Charcutería y quesos;VOLATIN jamón bodega pieza (peso aprox. 6.5 Kg);45.0
Charcutería y quesos;CERRATO queso mezcla semicurado cuña (peso aprox 350 gr);3.5
Charcutería y quesos;DIA SELECCIÓN MUNDIAL queso rallado grana padano bolsa 100 gr ;1.49
Charcutería y quesos;EL PASTOR DE LA POLVOROSA queso de vaca rulo madurado envase 140 gr ;1.0
Charcutería y quesos;SERRANO fiambre de lomo al horno sobre 240 gr ;1.89
Charcutería y quesos;CAMPOFRIO salchichas de pavo pack 3 x 170 gr ;2.05
Charcutería y quesos;EL VENTERO queso tierno light lonchas envase 160 gr;2.45
Charcutería y quesos;EL VENTERO queso tierno original en lonchas envase 160 gr ;2.45
Charcutería y quesos;EZEQUIEL chorizo extra dulce envase 425 gr;4.45
Charcutería y quesos;EZEQUIEL chorizo extra picante pieza 425 gr;4.45
Charcutería y quesos;DIA taco de jamón curado sobre 300 gr ;5.95
Charcutería y quesos;LOPEZ PUERTO jamón de bellota ibérico 50% raza ibérica cortado a mano sobre (peso aprox. 100 gr);14.9
Charcutería y quesos;DIA DELICIOUS chorizo de león ahumado natural pieza 360 gr;3.65
Charcutería y quesos;DIA DELICIOUS queso de cabra con pimentón cuña 250 gr ;3.69
Charcutería y quesos;DIA SELECCIÓN MUNDIAL escamas de queso parmigianno regianno DOP tarrina 80 gr;1.59
Charcutería y quesos;MILLAN VICENTE queso gruyere suizo cuña (peso aprox. 300 gr);7.5
Charcutería y quesos;DIA queso fundido light lonchas envase 300 gr ;1.25
Charcutería y quesos;ARIAS queso chaumes cuña (peso aprox. 300 gr);6.9
Charcutería y quesos;DIA SELECCIÓN MUNDIAL queso gorgonzola DOP envase 200 gr;1.95
Charcutería y quesos;NAVIDUL jamón de cebo ibérico de Extremadura 50% de raza ibérica sobre 110 gr ;6.99
Charcutería y quesos;GARCIA BAQUERO queso mezcla reserva 12 meses cuña (peso aprox. 300 gr);4.92
Charcutería y quesos;FLORENCIO GOMEZ chorizo ibérico de bellota en lonchas sobre (peso aprox. 200 gr);3.19
Charcutería y quesos;FLORENCIO GOMEZ lomo de cebo ibérico en lonchas sobre (peso aprox. 200 gr);8.0
Charcutería y quesos;FLORENCIO GOMEZ salchichón ibérico de bellota en lonchas sobre (peso aprox. 200 gr);3.19
Charcutería y quesos;AOSTE mousse de foie de pato medallón (peso aprox. 150 gr);2.1
Charcutería y quesos;PRESIDENT queso brie cuña (peso aprox. 300 gr);4.5
Charcutería y quesos;HOLLANDIA queso edam tierno cuña (peso aprox. 300 gr);2.4
Charcutería y quesos;CANPIPORK jamón de cebo Ibérico 50% raza ibérica pieza (peso aprox. 7.5 Kg);99.0
Charcutería y quesos;FRIAL pechuga de pavo natural en lonchas;9.99
Charcutería y quesos;VALDE LOS FRAILES queso cabrales D.O.P cuña (peso aprox. 300 gr);4.79
Charcutería y quesos;ELPOZO salchichas big pollo pack 3 x 180 gr ;2.0
Charcutería y quesos;DIA mini taquitos de jamón curado  envase 2 x 75 gr;1.89
Charcutería y quesos;AOSTE mousse de foie de pato pack 2 x 100 gr;3.15
Charcutería y quesos;EL VENTERO queso mezcla tierno lonchas sin lactosa envase 140 gr ;2.55
Charcutería y quesos;PICKEN cabeza de jabalí ibérica con pistachos a la trufa en lonchas;10.99
Charcutería y quesos;DIA DELICIOUS mousse de salmón ahumado tarro 110 gr ;2.19
Charcutería y quesos;DIA DELICIOUS lomo de cebo ibérico envase 100 gr ;3.75
Charcutería y quesos;DIA cabeza de jabalí sobre 200 gr ;1.59
Charcutería y quesos;EL PASTOR DE LA POLVOROSA queso de oveja curado cuña 150 gr ;2.0
Charcutería y quesos;CAMPOFRÍO Finissimas pechuga de pavo braseado en lonchas sobre 115 gr;1.89
Charcutería y quesos;EL CASERIO queso light fundido 16 porciones caja 250 gr;1.89
Charcutería y quesos;NAVIDUL jamón curado medias lonchas bipack sobre 138 gr;3.25
Charcutería y quesos;LA HOGUERA paleta raza duroc sobre 150 gr ;3.39
Charcutería y quesos;OSCAR MAYER salchichas con queso envase 200 gr;0.99
Charcutería y quesos;NAVIDUL fuet pieza 170 gr ;2.25
Charcutería y quesos;PALACIOS chorizo sarta picante pieza 250 gr;3.09
Charcutería y quesos;OSCAR MAYER bacon en lonchas envase 150 gr;1.99
Charcutería y quesos;VILLAR lomo embuchado pieza 360 gr ;7.25
Charcutería y quesos;EL PASTOR DE LA POLVOROSA queso de oveja curado cuña 500 gr ;7.75
Charcutería y quesos;PAVOFRÍO mini fuet de pavo bolsa 50 gr;1.29
Charcutería y quesos;EL PASTOR DE LA POLVOROSA queso rulo de cabra pieza 140 gr ;1.89
Charcutería y quesos;FLOR DE BURGOS queso fresco batido 0% M.G tarrina 450 gr;1.65
Charcutería y quesos;ELPOZO Bienstar jamón cocido bajo en sal en finas lonchas sobre 85 gr;1.0
Charcutería y quesos;FERRARINI jamón cocido en lonchas;16.5
Charcutería y quesos;FERRARINI mortadela bologna en lonchas;11.49
Charcutería y quesos;FERRARINI queso gorgonzola cuña (peso aprox. 250 gr);3.25
Charcutería y quesos;CAMPO REAL queso de oveja curado cuña 250 gr ;3.49
Charcutería y quesos;CAMPO REAL queso de oveja semicurado cuña 250 gr ;2.95
Charcutería y quesos;MONELLS fiambre de pechuga de pavo en finas lonchas sobre 230 gr;1.99
Charcutería y quesos;EL CASERIO queso rallado en polvo bolsa 90 gr ;1.29
Charcutería y quesos;CAMPOFRÍO mortadela con aceitunas en lonchas sobre 115 gr;1.0
Charcutería y quesos;ELPOZO Legado mortadela ibérica en lonchas;6.95
Charcutería y quesos;NAVIDUL jamón curado bajo en sal envase 50 gr ;1.0
Charcutería y quesos;PAVOFRÍO fiambre de pechuga de pavo braseada envase 80 gr;1.0
Charcutería y quesos;SÁNCHEZ ALCARAZ jamón de cebo Ibérico 50% pieza (peso aprox. 8 Kg);99.0
Charcutería y quesos;SANCHEZ ALCARAZ jamón reserva pieza (peso aprox. 7 Kg);49.0
Charcutería y quesos;ARGAL Bonnatur pechuga de pavo en finas lonchas sobre 130 gr;2.15
Charcutería y quesos;ELPOZO codillo de jamón curado pieza 850 gr;1.69
Charcutería y quesos;EL CASERIO queso fundido burger con cheddar en lonchas paquete 185 gr ;1.69
Charcutería y quesos;EL POZO fiambre de pechuga de pavo mini pieza 360 gr;2.0
Charcutería y quesos;SOLARIEGO jamón gran reserva pieza (peso aprox. 8 Kg);69.0
Charcutería y quesos;DIA DELICIOUS chorizo ibérico cular extra pieza 360 gr ;3.89
Charcutería y quesos;DIA DELICIOUS salchichón ibérico cular extra pieza 360 gr ;3.89
Charcutería y quesos;DIA DELICIOUS queso manchego curado D.O.P cuña 250 gr ;3.89
Charcutería y quesos;DIA DELICIOUS queso de oveja curado en aceite de oliva virgen cuña 250 gr ;3.15
Charcutería y quesos;SANCHEZ ALCARAZ paleta de cebo ibérica semideshuesada 50% raza ibérica (peso aprox. 4.6 Kg);59.0
Charcutería y quesos;LARSA queso en lonchas envase 200 gr ;2.29
Charcutería y quesos;DIA DELICIOUS queso roquefort cuña 100 gr ;1.49
Charcutería y quesos;DIA pechuguita de pollo asada al horno en lonchas sobre 100 gr;2.05
Charcutería y quesos;ARGAL Bonnatur jamón cocido en finas lonchas sobre 140 gr;2.15
Charcutería y quesos;CAMPOFRÍO Cuidat+ fiambre de pechuga de pavo bajo en sal en lonchas sobre 75 gr ;1.0
Charcutería y quesos;CAMPOFRÍO salchichas grand bratwurst envase 400 gr ;3.19
Charcutería y quesos;NAVIDUL salchichón ibérico lonchas sobre 110 gr ;2.69
Charcutería y quesos;NAVIDUL chorizo ibérico lonchas sobre 110 gr ;2.69
Charcutería y quesos;LEGADO jamón de cebo Ibérico 50% raza ibérica pieza (peso aprox. 7.5 Kg);119.0
Charcutería y quesos;BOADAS jamón serrano gran reserva lonchas sobre 80 gr ;2.49
Charcutería y quesos;BOADAS longaniza de payes 80 gr ;1.75
Charcutería y quesos;NAVIDUL jamón curado en lonchas sobre 138 gr;2.99
Charcutería y quesos;SANCHEZ ALCARAZ jamón de cebo ibérico 50% raza ibérica sobre 90 gr ;5.95
Charcutería y quesos;OSCAR MAYER salchichas Wieners envase 200 g;0.99
Charcutería y quesos;OSCAR MAYER salchichas jumbo classic envase 350 gr;1.95
Charcutería y quesos;DIA bacon en lonchas sobre 200 gr;1.89
Charcutería y quesos;LA VACA QUE RIE queso fundido light 16 porciones caja 250 gr;2.19
Charcutería y quesos;PHILADELPHIA queso para untar finas hierbas tarrina 150 gr ;2.09
Charcutería y quesos;PRESIDENT crema de queso camembert tarrina 125 gr ;1.55
Charcutería y quesos;CAMPOFRÍO jamón cocido extra en lonchas;10.75
Charcutería y quesos;LA PIARA paté tapa negra lata 225 gr;2.49
Charcutería y quesos;PAVOFRÍO fiambre de pechuga de pavo mini envase 380 gr;3.45
Charcutería y quesos;DIA paté hígado de cerdo lata 3 x 78 gr;1.35
Charcutería y quesos;PAVOFRÍO pechuga de pavo en lonchas;10.99
Charcutería y quesos;DIA salchichas Baviera envase 300 gr;1.55
Charcutería y quesos;DIA chorizo sarta extra pieza 280 gr ;2.29
Charcutería y quesos;DIA GALATEA queso rallado especial para gratinar bolsa 200 gr;1.09
Charcutería y quesos;DIA EL CENCERRO queso tierno light en lonchas envase 200 gr;2.09
Charcutería y quesos;DIA taquitos de jamón curado envase 150 gr;1.69
Charcutería y quesos;REVILLA chorizo tradición en lonchas sobre 70 gr;1.0
